Parameters:,"[100, 10, [100, 100, 100, 100], [0.0, 0.0, 0.0, 0.0, 0.0], 0.1, 0.3, 0.8, 0.0, 0.0, 0.0]"
Time stamp:,2015-06-29 14:50:35.028693

81,1.0
91,1.0
95,1.0
100,1.0
95,1.0
85,1.0
91,1.0
86,1.0
76,1.0
108,1.0
90,1.0
76,1.0
112,1.0
106,1.0
82,1.0
91,1.0
88,1.0
82,1.0
69,1.0
89,1.0
80,1.0
92,1.0
73,1.0
77,1.0
94,1.0
112,1.0
82,1.0
95,1.0
91,1.0
89,1.0
80,1.0
88,1.0
98,1.0
93,1.0
79,1.0
90,1.0
100,1.0
86,1.0
92,1.0
88,1.0
78,1.0
76,1.0
88,1.0
89,1.0
87,1.0
83,1.0
96,1.0
89,1.0
83,1.0
103,1.0
79,1.0
108,1.0
97,1.0
81,1.0
105,1.0
71,1.0
87,1.0
94,1.0
93,1.0
91,1.0
80,1.0
114,1.0
93,1.0
93,1.0
84,1.0
103,1.0
91,1.0
87,1.0
73,1.0
74,1.0
85,1.0
71,1.0
107,1.0
96,1.0
73,1.0
82,1.0
97,1.0
94,1.0
91,1.0
93,1.0
75,1.0
75,1.0
78,1.0
88,1.0
96,1.0
90,1.0
83,1.0
89,1.0
85,1.0
66,1.0
72,1.0
79,1.0
97,1.0
92,1.0
104,1.0
90,1.0
85,1.0
101,1.0
86,1.0
78,1.0
